synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,TMIV_encoding_time,TMIV_decoding_time,x265_encoding_time,x265_decoding_time,bitrate
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose0,44,1,33.646705777777775,0.8850977222222222,49.56062063333333,573.674,1057.31,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose1,44,1,37.98263731111111,0.9164295555555556,47.959479077777786,573.674,1147.138,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose2,44,1,40.50884568888889,0.9194234444444446,60.56359751111111,573.674,1099.099,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose3,44,1,36.64122143333333,0.9209970444444443,49.84140689999999,573.674,1066.195,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose4,44,1,34.33809947777778,0.8916191000000001,41.866870277777785,573.674,1097.035,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose5,44,1,37.91827452222222,0.9102083666666666,59.0636896,573.674,1145.816,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose6,44,1,38.10288785555555,0.9243394777777776,58.50830703333333,573.674,1186.538,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose7,44,1,36.57752776666667,0.8995341444444442,49.68619066666667,573.674,1197.993,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose8,44,1,37.1970971,0.8650581333333334,50.73524907777779,573.674,983.091,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,6x6,LightroomInteriorDayLight,pose9,44,1,40.26971085555555,0.9244263222222222,53.24304805555554,573.674,1188.249,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose0,44,1,33.58126156666666,0.8851841555555555,52.77950683333334,573.674,2286.176,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose1,44,1,37.91610537777778,0.9263883,47.563899666666664,573.674,2648.275,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose2,44,1,40.59170648888889,0.9376925666666667,59.5793027,573.674,2607.492,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose3,44,1,36.479089844444445,0.9187568888888888,53.312472588888895,573.674,2378.139,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose4,44,1,34.285494633333336,0.8931026333333334,44.57730504444445,573.674,2442.291,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose5,44,1,37.634318244444444,0.9101759222222221,61.36576286666665,573.674,2638.146,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose6,44,1,37.840411133333326,0.9255650999999999,62.038615688888875,573.674,2801.315,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose7,44,1,36.58508933333333,0.9043747444444445,51.50698583333333,573.674,2660.179,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose8,44,1,36.983518266666664,0.8640902999999999,53.437395,573.674,2199.648,2.5641138553619385,1.8492300510406494,539736
ViewWeightingSynthesizer,6x6,LightroomInteriorDayLight,pose9,44,1,40.076407744444445,0.9252341,57.33796907777778,573.674,2683.473,2.5641138553619385,1.8492300510406494,539736
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose0,44,1,34.38640188888889,0.8688537333333334,50.63906651111112,575.805,1043.672,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose1,44,1,37.48221186666667,0.9279816111111109,48.99385048888888,575.805,1160.738,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose2,44,1,40.7557957,0.9375876666666666,61.271375544444446,575.805,1079.759,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose3,44,1,37.050000033333326,0.8882985999999999,50.2624512,575.805,1088.878,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose4,44,1,34.378079944444444,0.8814527444444444,43.397837800000005,575.805,1101.807,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose5,44,1,38.29444865555556,0.8977238111111111,59.709728311111114,575.805,1134.633,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose6,44,1,38.921828033333334,0.9167921777777778,58.86506314444445,575.805,1194.427,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose7,44,1,36.56841564444444,0.900277011111111,51.135530588888884,575.805,1210.388,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose8,44,1,38.13233563333334,0.8530077000000001,50.57818155555555,575.805,968.437,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,9x4,LightroomInteriorDayLight,pose9,44,1,40.67384946666667,0.9144746333333333,55.62178383333333,575.805,1201.11,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose0,44,1,34.30737716666667,0.8666380777777777,51.394576333333326,575.805,2299.498,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose1,44,1,37.37585993333333,0.931309011111111,49.58932708888889,575.805,2613.122,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose2,44,1,40.65112845555556,0.9392462888888891,60.51575645555556,575.805,2511.259,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose3,44,1,36.99240281111111,0.8869060111111109,53.24240285555556,575.805,2333.316,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose4,44,1,34.25726385555556,0.8792583888888887,44.79815437777778,575.805,2466.165,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose5,44,1,38.08813756666667,0.8961177333333334,61.67003976666668,575.805,2658.693,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose6,44,1,38.520973977777786,0.9153624999999999,62.02354325555555,575.805,2824.637,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose7,44,1,36.48263096666667,0.9001633888888891,52.436952444444465,575.805,2685.955,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose8,44,1,37.987339733333336,0.8514043222222224,52.37871981111111,575.805,2193.692,2.579376697540283,1.8869123458862305,546072
ViewWeightingSynthesizer,9x4,LightroomInteriorDayLight,pose9,44,1,40.4282622,0.9138137333333335,58.39288767777778,575.805,2704.356,2.579376697540283,1.8869123458862305,546072
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose0,44,1,34.78717721111111,0.8645232222222222,43.72486013333333,578.587,1008.197,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose1,44,1,34.988342800000005,0.9248431555555555,50.46579102222223,578.587,1075.835,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose2,44,1,39.26210053333334,0.9465561777777778,62.38904288888889,578.587,972.716,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose3,44,1,37.147680477777776,0.8822481444444444,43.355296466666665,578.587,1020.407,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose4,44,1,34.51256926666667,0.8754836444444446,37.04135306666667,578.587,1051.622,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose5,44,1,38.35833183333334,0.8962546333333331,52.64050826666667,578.587,1077.948,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose6,44,1,38.493721388888886,0.9108592777777778,52.91015122222222,578.587,1134.755,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose7,44,1,36.46504172222222,0.9018220555555555,50.46953065555556,578.587,1147.524,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose8,44,1,38.22944085555556,0.8485058444444444,41.299452088888884,578.587,940.102,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,12x3,LightroomInteriorDayLight,pose9,44,1,40.591945833333334,0.9095125555555557,49.79542306666666,578.587,1149.908,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose0,44,1,34.7249223,0.8623182111111111,44.636012255555556,578.587,2225.546,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose1,44,1,34.94094653333334,0.9256457222222221,51.83222065555556,578.587,2425.113,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose2,44,1,39.080694977777775,0.9453044666666668,62.766558611111115,578.587,2316.73,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose3,44,1,37.053688522222224,0.879935688888889,45.00150171111112,578.587,2266.751,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose4,44,1,34.434139655555555,0.8746821555555556,38.25616512222222,578.587,2402.98,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose5,44,1,38.16322432222222,0.8943775555555555,54.245393633333336,578.587,2566.293,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose6,44,1,38.12752334444444,0.909190288888889,56.398539544444446,578.587,2704.426,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose7,44,1,36.34578495555556,0.9010937888888888,52.615953911111106,578.587,2555.445,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose8,44,1,38.08051647777777,0.8474144,42.96374075555555,578.587,2134.649,2.482372999191284,1.7827227115631104,502016
ViewWeightingSynthesizer,12x3,LightroomInteriorDayLight,pose9,44,1,40.33263431111111,0.9078605777777778,52.151802455555554,578.587,2631.451,2.482372999191284,1.7827227115631104,502016
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose0,44,1,34.863254266666665,0.8648472888888888,44.356679422222214,579.69,991.721,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose1,44,1,35.02289262222222,0.9251875777777776,49.86443015555555,579.69,1044.311,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose2,44,1,39.43365771111111,0.9471095333333334,62.22292568888889,579.69,969.51,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose3,44,1,37.11562388888889,0.8823966666666667,43.49351647777778,579.69,1008.717,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose4,44,1,34.701908322222216,0.875194588888889,36.77371806666667,579.69,1035.598,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose5,44,1,38.37842672222222,0.8963169222222223,52.23113287777778,579.69,1079.443,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose6,44,1,38.528296899999994,0.9112460666666669,53.42562392222221,579.69,1147.946,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose7,44,1,36.70100561111111,0.902085888888889,50.62632228888888,579.69,1160.31,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose8,44,1,38.33163235555556,0.8498639666666665,41.3396988,579.69,925.804,2.447347640991211,1.8538007736206055,493752
AdditiveSynthesizer,18x2,LightroomInteriorDayLight,pose9,44,1,40.53511834444445,0.9094656666666667,49.6008312,579.69,1132.14,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose0,44,1,34.82837074444445,0.8628206222222222,45.69201771111111,579.69,2278.372,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose1,44,1,34.91233594444444,0.9251958,51.37755397777779,579.69,2454.779,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose2,44,1,39.26334692222222,0.9458209111111111,62.855453322222225,579.69,2342.723,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose3,44,1,37.03598646666667,0.8797392777777776,45.293496911111106,579.69,2313.83,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose4,44,1,34.56148923333333,0.8734858888888889,38.03646616666667,579.69,2430.327,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose5,44,1,38.143421144444446,0.8943418555555556,54.24329545555556,579.69,2623.483,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose6,44,1,38.14569910000001,0.9086452888888891,56.57955253333333,579.69,2770.325,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose7,44,1,36.56676611111111,0.9002518444444445,52.72422666666667,579.69,2622.686,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose8,44,1,38.194097555555565,0.8489004555555556,43.122022888888885,579.69,2166.061,2.447347640991211,1.8538007736206055,493752
ViewWeightingSynthesizer,18x2,LightroomInteriorDayLight,pose9,44,1,40.09471683333334,0.9056558888888888,51.81715393333333,579.69,2696.434,2.447347640991211,1.8538007736206055,493752
