synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,bitrate
AdditiveSynthesizer,6x6,RealisticRendering,pose1,20,1,21.010247011111115,0.8505371666666668,49.97524576666667,14008952
AdditiveSynthesizer,6x6,RealisticRendering,pose1,36,1,20.954557622222225,0.8443312111111111,48.47955555555556,2489264
AdditiveSynthesizer,6x6,RealisticRendering,pose1,44,1,20.8038757,0.8276634555555555,43.91184845555555,1082664
AdditiveSynthesizer,6x6,RealisticRendering,pose1,48,1,20.636998877777778,0.8099670888888888,39.09007673333334,768080
AdditiveSynthesizer,6x6,RealisticRendering,pose1,50,1,20.576879033333334,0.800196211111111,36.37131598888888,668416
AdditiveSynthesizer,9x4,RealisticRendering,pose1,20,1,20.610206744444444,0.8497924000000001,51.74341531111112,13872760
AdditiveSynthesizer,9x4,RealisticRendering,pose1,36,1,20.554886922222224,0.8441287444444444,50.290308177777774,2490448
AdditiveSynthesizer,9x4,RealisticRendering,pose1,44,1,20.43619438888889,0.8286639777777779,46.10318884444444,1047728
AdditiveSynthesizer,9x4,RealisticRendering,pose1,48,1,20.315999599999998,0.8117320666666666,40.71185858888889,734176
AdditiveSynthesizer,9x4,RealisticRendering,pose1,50,1,20.216410811111114,0.8006917555555557,37.38027302222223,636920
AdditiveSynthesizer,12x3,RealisticRendering,pose1,20,1,19.1050607,0.8317840222222223,50.202482599999996,12578752
AdditiveSynthesizer,12x3,RealisticRendering,pose1,36,1,19.086642622222225,0.8265963000000001,48.879765366666675,2182264
AdditiveSynthesizer,12x3,RealisticRendering,pose1,44,1,19.050997444444445,0.8132538222222223,44.91113662222222,936976
AdditiveSynthesizer,12x3,RealisticRendering,pose1,48,1,18.982665066666662,0.7980579333333332,40.64894204444444,665232
AdditiveSynthesizer,12x3,RealisticRendering,pose1,50,1,18.931681688888887,0.7899496777777777,37.411104377777775,575064
AdditiveSynthesizer,18x2,RealisticRendering,pose1,20,1,19.105464844444445,0.8315344111111111,50.358936477777775,12493688
AdditiveSynthesizer,18x2,RealisticRendering,pose1,36,1,19.0876759,0.8263971777777779,49.05553153333332,2180024
AdditiveSynthesizer,18x2,RealisticRendering,pose1,44,1,19.028372355555554,0.8125474888888887,45.183788,932736
AdditiveSynthesizer,18x2,RealisticRendering,pose1,48,1,18.974221344444445,0.7985904222222223,40.955654366666664,662216
AdditiveSynthesizer,18x2,RealisticRendering,pose1,50,1,18.943431622222224,0.7897988444444445,38.153966322222225,576424
