x,y,z
10,0.000000,0.000000
10,-0.242851,0.132442
10,-0.485045,0.265074
10,-0.728165,0.398216
10,-0.971797,0.532195
10,-1.216412,0.667275
10,-1.462688,0.803839
10,-1.710058,0.942144
10,-1.960093,1.081494
10,-2.211552,1.223366
10,-2.465872,1.368023
10,-2.722633,1.515847
10,-2.982467,1.667244
10,-3.246044,1.821592
10,-3.514072,1.980402
10,-3.755174,2.150893
10,-4.000327,2.325291
10,-4.250342,2.505247
10,-4.505572,2.689967
10,-4.766287,2.880836
10,-5.032169,3.079164
10,-5.305274,3.283849
10,-5.586051,3.497185
10,-5.873676,3.718441
10,-6.171210,3.950199
10,-6.477055,4.191311
10,-6.793238,4.444598
10,-7.121499,4.708149
10,-7.461718,4.987803
10,-6.917934,4.960478
10,-6.401015,4.938880
10,-5.969217,4.922006
10,-5.554641,4.909884
10,-5.158006,4.904050
10,-4.775707,4.904203
10,-4.407426,4.909522
10,-4.050037,4.920994
10,-3.703031,4.936167
10,-3.365320,4.956702
10,-3.035377,4.982541
10,-2.712910,5.013665
10,-2.396571,5.050091
10,-2.085085,5.090756
10,-1.778565,5.138566
10,-1.446547,5.201723
10,-1.117548,5.270506
10,-0.792668,5.343989
10,-0.468593,5.424608
10,-0.146454,5.510403
10,0.174821,5.602159
10,0.496251,5.700829
10,0.818940,5.806815
10,1.142654,5.918099
10,1.467483,6.037595
10,1.795750,6.165888
10,2.128239,6.302180
10,2.463682,6.445907
10,2.804997,6.600479
10,3.151345,6.764407
10,3.504689,6.940184
10,3.866085,7.128041
10,4.235259,7.326945
10,4.615531,7.540275
10,5.007451,7.769526
10,5.410250,8.012931
10,5.827846,8.275911
10,6.262558,8.557810
10,6.712208,8.858370
10,7.184138,9.185451
10,7.676409,9.536425
10,8.184504,9.909423
10,8.002808,9.723976
10,7.823952,9.543143
10,7.647478,9.368170
10,7.473593,9.195887
10,7.303295,9.030498
10,7.133862,8.867459
10,6.967731,8.709394
10,6.803737,8.554848
10,6.642756,8.404885
10,6.484624,8.259291
10,6.327794,8.116476
10,6.174055,7.977958
10,6.021418,7.841938
10,5.868988,7.708606
10,5.720970,7.579879
10,5.574310,7.453576
10,5.427657,7.328318
10,5.283697,7.208515
10,5.142864,7.090452
10,0.000000,0.000000
10,-0.056678,-0.038845
10,-0.113274,-0.076608
10,-0.169789,-0.115288
10,-0.225247,-0.152909
10,-0.281657,-0.191481
10,-0.338006,-0.228996
10,-0.394295,-0.267445
10,-0.450564,-0.305874
10,-0.505834,-0.343305
10,-0.562059,-0.381689
10,-0.617307,-0.419096
10,-0.673519,-0.457466
10,-0.728775,-0.494881
10,-0.785004,-0.533269
10,-0.840299,-0.570723
10,-0.895666,-0.608251
10,-0.951036,-0.646774
10,-1.006406,-0.684305
10,-1.061876,-0.721938
10,-1.117460,-0.760681
10,-1.173068,-0.798453
10,-1.227703,-0.836249
10,-1.283593,-0.875304
10,-1.338408,-0.913283
10,-1.393515,-0.951562
10,-1.448540,-0.989758
10,-1.503890,-1.028287
10,-1.559159,-1.066734
10,-1.609111,-1.125020
10,-1.660227,-1.183481
10,-1.710512,-1.242118
10,-1.761131,-1.301105
10,-1.811930,-1.360281
10,-1.863088,-1.418827
10,-1.913615,-1.478772
10,-1.965163,-1.538737
10,-2.016287,-1.598303
10,-2.067626,-1.659111
10,-2.118166,-1.720154
10,-2.170152,-1.780635
10,-2.221570,-1.841591
10,-2.273228,-1.903830
10,-2.325129,-1.965310
10,-2.377512,-2.027303
10,-2.429123,-2.089574
10,-2.481241,-2.152389
10,-2.533886,-2.215771
10,-2.585777,-2.279465
10,-2.638991,-2.343476
10,-2.691727,-2.408096
10,-2.744762,-2.473051
10,-2.797339,-2.538651
10,-2.850227,-2.603554
10,-2.903734,-2.670187
10,-2.957572,-2.736139
10,-3.010680,-2.802467
10,-3.064769,-2.870928
10,-3.118888,-2.938388
10,-3.172624,-3.006611
10,-3.226723,-3.075257
10,-3.281540,-3.144708
10,-3.337104,-3.214993
10,-3.391613,-3.285354
10,-3.447261,-3.355888
10,-3.501849,-3.427597
10,-3.557230,-3.499114
10,-3.613432,-3.572668
10,-3.668559,-3.645208
10,-3.724941,-3.719162
10,-3.781359,-3.793215
10,-3.838659,-3.868283
10,-3.895746,-3.944404
10,-3.952187,-4.021124
10,-4.009110,-4.098451
10,-4.066989,-4.176906
10,-4.125379,-4.254861
10,-4.183139,-4.333458
10,-4.240753,-4.414409
10,-4.300060,-4.494892
10,-4.359262,-4.576639
10,-4.417859,-4.659111
10,-4.477017,-4.742319
10,-4.537288,-4.825699
10,-4.596970,-4.911039
10,-4.657247,-4.995979
10,-4.717502,-5.083560
10,-4.778381,-5.170781
10,-4.839891,-5.258847
10,-4.901431,-5.348461
10,0.000000,0.000000
10,0.172876,-0.181037
10,0.344841,-0.363181
10,0.517174,-0.544775
10,0.690159,-0.727162
10,0.863077,-0.909689
10,1.035208,-1.094720
10,1.208851,-1.280609
10,1.382156,-1.467569
10,1.555649,-1.657286
10,1.730381,-1.848813
10,1.904558,-2.043521
10,2.080888,-2.241241
10,2.257255,-2.441958
10,2.433918,-2.646075
10,2.612208,-2.854021
10,2.790567,-3.066596
10,2.971191,-3.285078
10,3.152241,-3.507841
10,3.335119,-3.735418
10,3.519061,-3.970617
10,3.704017,-4.211377
10,3.891825,-4.459952
10,4.080155,-4.716545
10,4.270926,-4.981330
10,4.463595,-5.253863
10,4.657764,-5.536755
10,4.855576,-5.830495
10,5.054565,-6.133807
10,5.256814,-6.450075
10,5.410940,-6.790898
10,5.569959,-7.145139
10,5.731667,-7.514811
10,5.896593,-7.902147
10,5.607215,-7.458768
10,5.323601,-7.038796
10,5.045516,-6.640118
10,4.772215,-6.259406
10,4.503575,-5.896914
10,4.238881,-5.550837
10,3.978671,-5.219576
10,3.721566,-4.902312
10,3.500175,-4.828221
10,3.280677,-4.757073
10,3.063618,-4.688161
10,2.849151,-4.621942
10,2.635610,-4.557749
10,2.425368,-4.496031
10,2.215708,-4.436154
10,2.007602,-4.376948
10,1.801355,-4.321553
10,1.596098,-4.267258
10,1.392311,-4.214412
10,1.189421,-4.164115
10,1.032281,-4.118258
10,0.876800,-4.075678
10,0.720394,-4.033231
10,0.565085,-3.993011
10,0.410827,-3.953298
10,0.255332,-3.916163
10,0.101614,-3.879437
10,-0.053663,-3.844134
10,-0.208546,-3.809781
10,-0.363161,-3.776774
10,-0.518725,-3.745075
10,-0.674288,-3.715284
10,-0.830105,-3.686096
10,-0.986208,-3.657706
10,-1.143870,-3.629443
10,-1.069926,-3.510817
10,-0.995654,-3.391875
10,-0.921971,-3.275304
10,-0.847811,-3.158962
10,-0.782833,-3.036474
10,-0.717454,-2.916602
10,-0.651579,-2.796882
10,-0.586218,-2.677275
10,-0.521389,-2.560066
10,-0.456033,-2.443125
10,-0.391064,-2.325867
10,-0.325545,-2.211047
10,-0.260392,-2.096062
10,-0.195582,-1.981884
10,-0.130096,-1.867677
10,-0.064903,-1.755376
10,0.000033,-1.642717
10,0.065743,-1.530842
10,0.130249,-1.419517
10,0.195591,-1.307862
10,0.260779,-1.197661
